Observation unit ID	Date	NumMainStems	TubN_total_per_plant	TubW_total_per_plant	DoE	PlantHeight
WUR:CE-FIN05-I-12-B	2005-06-28				40	1
WUR:CE-FIN05-I-12-C	2005-06-28				29	5
WUR:CE-FIN05-I-13-A	2005-06-28				26	11
WUR:CE-FIN05-I-13-B	2005-06-28				26	10
WUR:CE-FIN05-I-13-C	2005-06-28				26	9
WUR:CE-FIN05-I-14-A	2005-06-28				28	9
WUR:CE-FIN05-I-14-B	2005-06-28					
WUR:CE-FIN05-I-14-C	2005-06-28				28	9
WUR:CE-FIN05-I-15-A	2005-06-28				28	11
WUR:CE-FIN05-I-15-B	2005-06-28				22	10
WUR:CE-FIN05-I-15-C	2005-06-28				28	8
WUR:CE-FIN05-I-16-A	2005-06-28				38	2
WUR:CE-FIN05-I-16-B	2005-06-28				28	11
WUR:CE-FIN05-I-16-C	2005-06-28				30	5
WUR:CE-FIN05-I-17-A	2005-06-28				27	9
WUR:CE-FIN05-I-17-B	2005-06-28				30	8
WUR:CE-FIN05-I-17-C	2005-06-28				32	9
WUR:CE-FIN05-I-18-A	2005-06-28				33	4
WUR:CE-FIN05-I-18-B	2005-06-28				27	5
WUR:CE-FIN05-I-18-C	2005-06-28				30	6
WUR:CE-FIN05-I-19-A	2005-06-28				26	11
WUR:CE-FIN05-I-19-B	2005-06-28				39	1
WUR:CE-FIN05-I-19-C	2005-06-28				30	6
WUR:CE-FIN05-I-20-A	2005-06-28				40	1
WUR:CE-FIN05-I-20-B	2005-06-28				40	1
WUR:CE-FIN05-I-20-C	2005-06-28				40	1
WUR:CE-FIN05-I-21-A	2005-06-28				27	12
WUR:CE-FIN05-I-21-B	2005-06-28				34	5
WUR:CE-FIN05-I-21-C	2005-06-28				33	6
WUR:CE-FIN05-I-22-A	2005-06-28				31	6
WUR:CE-FIN05-I-22-B	2005-06-28				27	9
WUR:CE-FIN05-I-22-C	2005-06-28				28	7
WUR:CE-FIN05-I-23-A	2005-06-28				26	12
WUR:CE-FIN05-I-23-B	2005-06-28				26	14
WUR:CE-FIN05-I-23-C	2005-06-28				27	9
WUR:CE-FIN05-I-24-A	2005-06-28				28	6
WUR:CE-FIN05-I-24-B	2005-06-28				27	7
WUR:CE-FIN05-I-24-C	2005-06-28				27	5
WUR:CE-FIN05-I-25-A	2005-06-28				32	7
WUR:CE-FIN05-I-25-B	2005-06-28				36	6
WUR:CE-FIN05-I-25-C	2005-06-28				37	3
WUR:CE-FIN05-I-26-A	2005-06-28				26	10
WUR:CE-FIN05-I-26-B	2005-06-28				25	12
WUR:CE-FIN05-I-26-C	2005-06-28				27	7
WUR:CE-FIN05-I-27-A	2005-06-28				38	2
WUR:CE-FIN05-I-27-B	2005-06-28				42	1
WUR:CE-FIN05-I-27-C	2005-06-28		1		37	3
WUR:CE-FIN05-I-28-A	2005-06-28				36	2
WUR:CE-FIN05-I-28-B	2005-06-28				26	12
WUR:CE-FIN05-I-28-C	2005-06-28				26	11
WUR:CE-FIN05-I-29-A	2005-06-28					
WUR:CE-FIN05-I-29-B	2005-06-28				26	9
WUR:CE-FIN05-I-29-C	2005-06-28				40	1
WUR:CE-FIN05-I-30-A	2005-06-28				28	6
WUR:CE-FIN05-I-30-B	2005-06-28				28	4
WUR:CE-FIN05-I-30-C	2005-06-28				28	6
WUR:CE-FIN05-I-31-A	2005-06-28				28	6
WUR:CE-FIN05-I-31-B	2005-06-28				36	2
WUR:CE-FIN05-I-31-C	2005-06-28				29	6
WUR:CE-FIN05-I-32-A	2005-06-28				28	7
WUR:CE-FIN05-I-32-B	2005-06-28				26	14
WUR:CE-FIN05-I-32-C	2005-06-28				27	9
WUR:CE-FIN05-I-33-A	2005-06-28				27	12
WUR:CE-FIN05-I-33-B	2005-06-28				26	13
WUR:CE-FIN05-I-33-C	2005-06-28				26	15
WUR:CE-FIN05-I-34-A	2005-06-28				26	14
WUR:CE-FIN05-I-34-B	2005-06-28				27	9
WUR:CE-FIN05-I-34-C	2005-06-28				33	6
WUR:CE-FIN05-I-35-A	2005-06-28					
WUR:CE-FIN05-I-35-B	2005-06-28				30	4
WUR:CE-FIN05-I-35-C	2005-06-28				29	6
WUR:CE-FIN05-I-36-A	2005-06-28				28	5
WUR:CE-FIN05-I-36-B	2005-06-28				28	10
WUR:CE-FIN05-I-36-C	2005-06-28				29	10
WUR:CE-FIN05-I-37-A	2005-06-28				25	10
WUR:CE-FIN05-I-37-B	2005-06-28				27	10
WUR:CE-FIN05-I-37-C	2005-06-28				26	14
WUR:CE-FIN05-I-38-A	2005-06-28				26	9
WUR:CE-FIN05-I-38-B	2005-06-28				26	9
WUR:CE-FIN05-I-38-C	2005-06-28				26	10
WUR:CE-FIN05-I-39-A	2005-06-28					1
WUR:CE-FIN05-I-39-B	2005-06-28				26	15
WUR:CE-FIN05-I-39-C	2005-06-28				35	5
WUR:CE-FIN05-I-40-A	2005-06-28				28	10
WUR:CE-FIN05-I-40-B	2005-06-28				27	11
WUR:CE-FIN05-I-40-C	2005-06-28				27	8
WUR:CE-FIN05-I-41-A	2005-06-28				25	13
WUR:CE-FIN05-I-41-B	2005-06-28				28	12
WUR:CE-FIN05-I-41-C	2005-06-28				26	12
WUR:CE-FIN05-I-42-A	2005-06-28				25	10
WUR:CE-FIN05-I-42-B	2005-06-28				27	8
WUR:CE-FIN05-I-42-C	2005-06-28				26	12
WUR:CE-FIN05-I-43-A	2005-06-28				27	9
WUR:CE-FIN05-I-43-B	2005-06-28				27	10
WUR:CE-FIN05-I-43-C	2005-06-28				28	7
WUR:CE-FIN05-I-44-A	2005-06-28				26	11
WUR:CE-FIN05-I-44-B	2005-06-28				26	8
WUR:CE-FIN05-I-44-C	2005-06-28				29	7
WUR:CE-FIN05-I-45-A	2005-06-28				26	9
WUR:CE-FIN05-I-45-B	2005-06-28				33	3
WUR:CE-FIN05-I-45-C	2005-06-28				26	11
WUR:CE-FIN05-I-46-A	2005-06-28				25	15
WUR:CE-FIN05-I-46-B	2005-06-28				26	14
WUR:CE-FIN05-I-46-C	2005-06-28				26	13
WUR:CE-FIN05-I-47-A	2005-06-28				25	14
WUR:CE-FIN05-I-47-B	2005-06-28				26	9
WUR:CE-FIN05-I-47-C	2005-06-28				28	10
WUR:CE-FIN05-I-48-A	2005-06-28				29	7
WUR:CE-FIN05-I-48-B	2005-06-28				26	14
WUR:CE-FIN05-I-48-C	2005-06-28				26	14
WUR:CE-FIN05-I-49-A	2005-06-28				26	15
WUR:CE-FIN05-I-49-B	2005-06-28				25	15
WUR:CE-FIN05-I-49-C	2005-06-28				26	14
WUR:CE-FIN05-I-50-A	2005-06-28				29	2
WUR:CE-FIN05-I-50-B	2005-06-28				27	9
WUR:CE-FIN05-I-50-C	2005-06-28				26	6
WUR:CE-FIN05-I-51-A	2005-06-28				28	6
WUR:CE-FIN05-I-51-B	2005-06-28				36	3
WUR:CE-FIN05-I-51-C	2005-06-28				35	4
WUR:CE-FIN05-I-52-A	2005-06-28				41	1
WUR:CE-FIN05-I-52-B	2005-06-28					
WUR:CE-FIN05-I-52-C	2005-06-28				29	4
WUR:CE-FIN05-I-53-A	2005-06-28				26	10
WUR:CE-FIN05-I-53-B	2005-06-28				26	9
WUR:CE-FIN05-I-53-C	2005-06-28				28	7
WUR:CE-FIN05-I-54-A	2005-06-28				32	7
WUR:CE-FIN05-I-54-B	2005-06-28				26	10
WUR:CE-FIN05-I-54-C	2005-06-28				30	4
WUR:CE-FIN05-I-55-A	2005-06-28				41	1
WUR:CE-FIN05-I-55-B	2005-06-28				39	2
WUR:CE-FIN05-I-55-C	2005-06-28				42	1
WUR:CE-FIN05-I-56-A	2005-06-28				33	5
WUR:CE-FIN05-I-56-B	2005-06-28				27	7
WUR:CE-FIN05-I-56-C	2005-06-28				29	6
WUR:CE-FIN05-I-57-A	2005-06-28				29	10
WUR:CE-FIN05-I-57-B	2005-06-28				26	13
WUR:CE-FIN05-I-57-C	2005-06-28				29	9
WUR:CE-FIN05-I-58-A	2005-06-28				26	10
WUR:CE-FIN05-I-58-B	2005-06-28				29	8
WUR:CE-FIN05-I-58-C	2005-06-28				27	7
WUR:CE-FIN05-I-59-A	2005-06-28				29	6
WUR:CE-FIN05-I-59-B	2005-06-28				29	11
WUR:CE-FIN05-I-59-C	2005-06-28				29	9
WUR:CE-FIN05-I-60-A	2005-06-28				38	2
WUR:CE-FIN05-I-60-B	2005-06-28				39	2
WUR:CE-FIN05-I-60-C	2005-06-28				35	4
WUR:CE-FIN05-I-61-A	2005-06-28				25	15
WUR:CE-FIN05-I-61-B	2005-06-28				27	8
WUR:CE-FIN05-I-61-C	2005-06-28				26	10
WUR:CE-FIN05-I-62-A	2005-06-28					1
WUR:CE-FIN05-I-62-B	2005-06-28				27	8
WUR:CE-FIN05-I-62-C	2005-06-28					
WUR:CE-FIN05-I-63-A	2005-06-28				27	10
WUR:CE-FIN05-I-63-B	2005-06-28				27	10
WUR:CE-FIN05-I-63-C	2005-06-28				30	8
WUR:CE-FIN05-I-64-A	2005-06-28				28	12
WUR:CE-FIN05-I-64-B	2005-06-28				28	10
WUR:CE-FIN05-I-64-C	2005-06-28				27	10
WUR:CE-FIN05-I-65-A	2005-06-28				25	6
WUR:CE-FIN05-I-65-B	2005-06-28				26	14
WUR:CE-FIN05-I-65-C	2005-06-28				26	10
WUR:CE-FIN05-I-66-A	2005-06-28				26	9
WUR:CE-FIN05-I-66-B	2005-06-28				26	14
WUR:CE-FIN05-I-66-C	2005-06-28				27	10
WUR:CE-FIN05-I-67-A	2005-06-28				40	1
WUR:CE-FIN05-I-67-B	2005-06-28				26	9
WUR:CE-FIN05-I-67-C	2005-06-28				33	5
WUR:CE-FIN05-I-68-A	2005-06-28				28	6
WUR:CE-FIN05-I-68-B	2005-06-28				38	2
WUR:CE-FIN05-I-68-C	2005-06-28				27	9
WUR:CE-FIN05-I-69-A	2005-06-28				30	6
WUR:CE-FIN05-I-69-B	2005-06-28				27	11
WUR:CE-FIN05-I-69-C	2005-06-28				27	10
WUR:CE-FIN05-I-70-A	2005-06-28				25	9
WUR:CE-FIN05-I-70-B	2005-06-28				33	5
WUR:CE-FIN05-I-70-C	2005-06-28				31	5
WUR:CE-FIN05-I-71-A	2005-06-28				27	13
WUR:CE-FIN05-I-71-B	2005-06-28					
WUR:CE-FIN05-I-71-C	2005-06-28					
WUR:CE-FIN05-I-72-A	2005-06-28				35	2
WUR:CE-FIN05-I-72-B	2005-06-28				34	3
WUR:CE-FIN05-I-72-C	2005-06-28				28	9
WUR:CE-FIN05-I-73-A	2005-06-28				29	9
WUR:CE-FIN05-I-73-B	2005-06-28				37	3
WUR:CE-FIN05-I-73-C	2005-06-28					
WUR:CE-FIN05-I-74-A	2005-06-28				27	9
WUR:CE-FIN05-I-74-B	2005-06-28				28	9
WUR:CE-FIN05-I-74-C	2005-06-28				32	4
WUR:CE-FIN05-I-75-A	2005-06-28				27	11
WUR:CE-FIN05-I-75-B	2005-06-28				29	8
WUR:CE-FIN05-I-75-C	2005-06-28				26	9
WUR:CE-FIN05-I-76-A	2005-06-28				27	10
WUR:CE-FIN05-I-76-B	2005-06-28				27	7
WUR:CE-FIN05-I-76-C	2005-06-28				27	9
WUR:CE-FIN05-I-77-A	2005-06-28				28	3
WUR:CE-FIN05-I-77-B	2005-06-28				29	6
WUR:CE-FIN05-I-77-C	2005-06-28					
WUR:CE-FIN05-I-78-A	2005-06-28				33	7
WUR:CE-FIN05-I-78-B	2005-06-28				26	10
WUR:CE-FIN05-I-78-C	2005-06-28				29	8
WUR:CE-FIN05-I-79-A	2005-06-28				26	9
WUR:CE-FIN05-I-79-B	2005-06-28				38	1
WUR:CE-FIN05-I-79-C	2005-06-28				26	9
WUR:CE-FIN05-I-80-A	2005-06-28				26	12
WUR:CE-FIN05-I-80-B	2005-06-28				34	6
WUR:CE-FIN05-I-80-C	2005-06-28				30	8
WUR:CE-FIN05-I-81-A	2005-06-28				32	5
WUR:CE-FIN05-I-81-B	2005-06-28				29	8
WUR:CE-FIN05-I-81-C	2005-06-28				26	10
WUR:CE-FIN05-I-82-A	2005-06-28				35	3
WUR:CE-FIN05-I-82-B	2005-06-28				27	6
WUR:CE-FIN05-I-82-C	2005-06-28				34	4
WUR:CE-FIN05-I-83-A	2005-06-28				26	10
WUR:CE-FIN05-I-83-B	2005-06-28				40	1
WUR:CE-FIN05-I-83-C	2005-06-28				26	10
WUR:CE-FIN05-I-84-A	2005-06-28				33	8
WUR:CE-FIN05-I-84-B	2005-06-28				30	8
WUR:CE-FIN05-I-84-C	2005-06-28				34	4
WUR:CE-FIN05-I-85-A	2005-06-28				36	3
WUR:CE-FIN05-I-85-B	2005-06-28				31	6
WUR:CE-FIN05-I-85-C	2005-06-28				29	7
WUR:CE-FIN05-I-86-A	2005-06-28				34	4
WUR:CE-FIN05-I-86-B	2005-06-28				30	5
WUR:CE-FIN05-I-86-C	2005-06-28				30	8
WUR:CE-FIN05-I-87-A	2005-06-28				34	5
WUR:CE-FIN05-I-87-B	2005-06-28				28	9
WUR:CE-FIN05-I-87-C	2005-06-28				27	6
WUR:CE-FIN05-I-88-A	2005-06-28				26	7
WUR:CE-FIN05-I-88-B	2005-06-28				26	7
WUR:CE-FIN05-I-88-C	2005-06-28				33	6
WUR:CE-FIN05-I-89-A	2005-06-28				33	4
WUR:CE-FIN05-I-89-B	2005-06-28				30	8
WUR:CE-FIN05-I-89-C	2005-06-28					
WUR:CE-FIN05-I-90-A	2005-06-28					
WUR:CE-FIN05-I-90-B	2005-06-28				26	11
WUR:CE-FIN05-I-90-C	2005-06-28					
WUR:CE-FIN05-I-91-A	2005-06-28				29	8
WUR:CE-FIN05-I-91-B	2005-06-28				27	10
WUR:CE-FIN05-I-91-C	2005-06-28				33	7
WUR:CE-FIN05-I-92-A	2005-06-28				27	11
WUR:CE-FIN05-I-92-B	2005-06-28				25	17
WUR:CE-FIN05-I-92-C	2005-06-28				28	11
WUR:CE-FIN05-I-93-A	2005-06-28				28	13
WUR:CE-FIN05-I-93-B	2005-06-28				29	10
WUR:CE-FIN05-I-93-C	2005-06-28				28	6
WUR:CE-FIN05-I-94-A	2005-06-28				31	7
WUR:CE-FIN05-I-94-B	2005-06-28				26	12
WUR:CE-FIN05-I-94-C	2005-06-28				25	18
WUR:CE-FIN05-I-95-A	2005-06-28				36	2
WUR:CE-FIN05-I-95-B	2005-06-28				40	1
WUR:CE-FIN05-I-95-C	2005-06-28				37	1
WUR:CE-FIN05-I-96-A	2005-06-28				28	8
WUR:CE-FIN05-I-96-B	2005-06-28				25	10
WUR:CE-FIN05-I-96-C	2005-06-28				38	3
WUR:CE-FIN05-I-97-A	2005-06-28				35	3
WUR:CE-FIN05-I-97-B	2005-06-28				35	4
WUR:CE-FIN05-I-97-C	2005-06-28				26	8
WUR:CE-FIN05-I-98-A	2005-06-28				25	16
WUR:CE-FIN05-I-98-B	2005-06-28				31	8
WUR:CE-FIN05-I-98-C	2005-06-28				26	8
WUR:CE-FIN05-I-99-A	2005-06-28				28	7
WUR:CE-FIN05-I-99-B	2005-06-28				28	7
WUR:CE-FIN05-I-99-C	2005-06-28				28	9
WUR:CE-FIN05-I-100-A	2005-06-28				26	13
WUR:CE-FIN05-I-100-B	2005-06-28				25	18
WUR:CE-FIN05-I-100-C	2005-06-28				26	14
WUR:CE-FIN05-I-101-A	2005-06-28				29	7
WUR:CE-FIN05-I-101-B	2005-06-28				27	9
WUR:CE-FIN05-I-101-C	2005-06-28				27	9
WUR:CE-FIN05-I-102-A	2005-06-28				27	8
WUR:CE-FIN05-I-102-B	2005-06-28				27	7
WUR:CE-FIN05-I-102-C	2005-06-28				29	8
WUR:CE-FIN05-I-103-A	2005-06-28				25	16
WUR:CE-FIN05-I-103-B	2005-06-28				26	14
WUR:CE-FIN05-I-103-C	2005-06-28				26	11
WUR:CE-FIN05-I-104-A	2005-06-28				29	6
WUR:CE-FIN05-I-104-B	2005-06-28				27	5
WUR:CE-FIN05-I-104-C	2005-06-28				27	6
WUR:CE-FIN05-I-105-A	2005-06-28				40	1
WUR:CE-FIN05-I-105-B	2005-06-28				36	2
WUR:CE-FIN05-I-105-C	2005-06-28				27	10
WUR:CE-FIN05-I-106-A	2005-06-28				29	9
WUR:CE-FIN05-I-106-B	2005-06-28				28	9
WUR:CE-FIN05-I-106-C	2005-06-28				26	12
WUR:CE-FIN05-I-107-A	2005-06-28				30	5
WUR:CE-FIN05-I-107-B	2005-06-28				29	7
WUR:CE-FIN05-I-107-C	2005-06-28				33	3
WUR:CE-FIN05-I-108-A	2005-06-28				37	2
WUR:CE-FIN05-I-108-B	2005-06-28				29	9
WUR:CE-FIN05-I-108-C	2005-06-28				29	8
WUR:CE-FIN05-I-109-A	2005-06-28				26	12
WUR:CE-FIN05-I-109-B	2005-06-28				29	9
WUR:CE-FIN05-I-109-C	2005-06-28				27	8
WUR:CE-FIN05-I-110-A	2005-06-28				40	2
WUR:CE-FIN05-I-110-B	2005-06-28				26	12
WUR:CE-FIN05-I-110-C	2005-06-28		2			
WUR:CE-FIN05-I-111-A	2005-06-28				30	9
WUR:CE-FIN05-I-111-B	2005-06-28				26	8
WUR:CE-FIN05-I-111-C	2005-06-28				25	12
WUR:CE-FIN05-I-112-A	2005-06-28				27	9
WUR:CE-FIN05-I-112-B	2005-06-28				41	1
WUR:CE-FIN05-I-112-C	2005-06-28				32	5
WUR:CE-FIN05-I-113-A	2005-06-28				27	7
WUR:CE-FIN05-I-113-B	2005-06-28				29	7
WUR:CE-FIN05-I-113-C	2005-06-28				30	6
WUR:CE-FIN05-I-114-A	2005-06-28				26	14
WUR:CE-FIN05-I-114-B	2005-06-28				26	15
WUR:CE-FIN05-I-114-C	2005-06-28				25	16
WUR:CE-FIN05-I-115-A	2005-06-28				33	4
WUR:CE-FIN05-I-115-B	2005-06-28				30	6
WUR:CE-FIN05-I-115-C	2005-06-28				41	2
WUR:CE-FIN05-I-116-A	2005-06-28				28	7
WUR:CE-FIN05-I-116-B	2005-06-28				28	5
WUR:CE-FIN05-I-116-C	2005-06-28					
WUR:CE-FIN05-I-117-A	2005-06-28				28	4
WUR:CE-FIN05-I-117-B	2005-06-28				28	7
WUR:CE-FIN05-I-117-C	2005-06-28				28	5
WUR:CE-FIN05-I-118-A	2005-06-28				25	14
WUR:CE-FIN05-I-118-B	2005-06-28				27	8
WUR:CE-FIN05-I-118-C	2005-06-28				38	2
WUR:CE-FIN05-I-119-A	2005-06-28				26	11
WUR:CE-FIN05-I-119-B	2005-06-28				26	11
WUR:CE-FIN05-I-119-C	2005-06-28				27	10
WUR:CE-FIN05-I-120-A	2005-06-28				25	10
WUR:CE-FIN05-I-120-B	2005-06-28				38	
WUR:CE-FIN05-I-120-C	2005-06-28				29	10
WUR:CE-FIN05-I-121-A	2005-06-28				37	2
WUR:CE-FIN05-I-121-B	2005-06-28					1
WUR:CE-FIN05-I-121-C	2005-06-28					
WUR:CE-FIN05-I-122-A	2005-06-28				29	11
WUR:CE-FIN05-I-122-B	2005-06-28				29	8
WUR:CE-FIN05-I-122-C	2005-06-28				29	9
WUR:CE-FIN05-I-123-A	2005-06-28				34	6
WUR:CE-FIN05-I-123-B	2005-06-28				35	4
WUR:CE-FIN05-I-123-C	2005-06-28				35	5
WUR:CE-FIN05-I-124-A	2005-06-28				30	9
WUR:CE-FIN05-I-124-B	2005-06-28				30	5
WUR:CE-FIN05-I-124-C	2005-06-28				32	8
WUR:CE-FIN05-I-125-A	2005-06-28				28	7
WUR:CE-FIN05-I-125-B	2005-06-28				27	6
WUR:CE-FIN05-I-125-C	2005-06-28				25	7
WUR:CE-FIN05-I-126-A	2005-06-28					
WUR:CE-FIN05-I-126-B	2005-06-28				37	2
WUR:CE-FIN05-I-126-C	2005-06-28					
WUR:CE-FIN05-I-127-A	2005-06-28				26	13
WUR:CE-FIN05-I-127-B	2005-06-28					
WUR:CE-FIN05-I-127-C	2005-06-28				28	13
WUR:CE-FIN05-I-128-A	2005-06-28				30	10
WUR:CE-FIN05-I-128-B	2005-06-28				29	14
WUR:CE-FIN05-I-128-C	2005-06-28				28	12
WUR:CE-FIN05-I-129-A	2005-06-28				29	7
WUR:CE-FIN05-I-129-B	2005-06-28				30	7
WUR:CE-FIN05-I-129-C	2005-06-28				29	7
WUR:CE-FIN05-I-130-A	2005-06-28				27	10
WUR:CE-FIN05-I-130-B	2005-06-28				29	8
WUR:CE-FIN05-I-130-C	2005-06-28				27	9
WUR:CE-FIN05-I-131-A	2005-06-28				31	6
WUR:CE-FIN05-I-131-B	2005-06-28				31	5
WUR:CE-FIN05-I-131-C	2005-06-28				31	4
WUR:CE-FIN05-I-132-A	2005-06-28				33	6
WUR:CE-FIN05-I-132-B	2005-06-28				27	7
WUR:CE-FIN05-I-132-C	2005-06-28				33	4
WUR:CE-FIN05-I-133-A	2005-06-28				28	9
WUR:CE-FIN05-I-133-B	2005-06-28				27	14
WUR:CE-FIN05-I-133-C	2005-06-28				27	11
WUR:CE-FIN05-I-134-A	2005-06-28				26	12
WUR:CE-FIN05-I-134-B	2005-06-28				25	7
WUR:CE-FIN05-I-134-C	2005-06-28				30	8
WUR:CE-FIN05-I-135-A	2005-06-28				29	5
WUR:CE-FIN05-I-135-B	2005-06-28				36	7
WUR:CE-FIN05-I-135-C	2005-06-28				28	9
WUR:CE-FIN05-I-136-A	2005-06-28				28	10
WUR:CE-FIN05-I-136-B	2005-06-28				34	5
WUR:CE-FIN05-I-136-C	2005-06-28				26	13
WUR:CE-FIN05-I-137-A	2005-06-28				27	12
WUR:CE-FIN05-I-137-B	2005-06-28				27	8
WUR:CE-FIN05-I-137-C	2005-06-28				29	8
WUR:CE-FIN05-I-138-A	2005-06-28				29	6
WUR:CE-FIN05-I-138-B	2005-06-28				26	12
WUR:CE-FIN05-I-138-C	2005-06-28				30	7
WUR:CE-FIN05-I-139-A	2005-06-28				25	13
WUR:CE-FIN05-I-139-B	2005-06-28				27	13
WUR:CE-FIN05-I-139-C	2005-06-28				27	10
WUR:CE-FIN05-I-140-A	2005-06-28				33	5
WUR:CE-FIN05-I-140-B	2005-06-28				28	5
WUR:CE-FIN05-I-140-C	2005-06-28				27	7
WUR:CE-FIN05-I-141-A	2005-06-28				29	7
WUR:CE-FIN05-I-141-B	2005-06-28				29	7
WUR:CE-FIN05-I-141-C	2005-06-28				29	6
WUR:CE-FIN05-I-142-A	2005-06-28				26	8
WUR:CE-FIN05-I-142-B	2005-06-28				27	10
WUR:CE-FIN05-I-142-C	2005-06-28				27	9
WUR:CE-FIN05-I-143-A	2005-06-28				25	16
WUR:CE-FIN05-I-143-B	2005-06-28				25	13
WUR:CE-FIN05-I-143-C	2005-06-28				26	13
WUR:CE-FIN05-I-144-A	2005-06-28				25	13
WUR:CE-FIN05-I-144-B	2005-06-28				26	14
WUR:CE-FIN05-I-144-C	2005-06-28				26	10
WUR:CE-FIN05-I-145-A	2005-06-28				26	8
WUR:CE-FIN05-I-145-B	2005-06-28				38	3
WUR:CE-FIN05-I-145-C	2005-06-28				26	7
WUR:CE-FIN05-I-146-A	2005-06-28				25	13
WUR:CE-FIN05-I-146-B	2005-06-28				27	7
WUR:CE-FIN05-I-146-C	2005-06-28				30	6
WUR:CE-FIN05-I-147-A	2005-06-28				28	12
WUR:CE-FIN05-I-147-B	2005-06-28				26	12
WUR:CE-FIN05-I-147-C	2005-06-28				26	12
WUR:CE-FIN05-I-148-A	2005-06-28				29	9
WUR:CE-FIN05-I-148-B	2005-06-28				27	9
WUR:CE-FIN05-I-148-C	2005-06-28				25	7
WUR:CE-FIN05-I-149-A	2005-06-28				27	8
WUR:CE-FIN05-I-149-B	2005-06-28				26	11
WUR:CE-FIN05-I-149-C	2005-06-28					
WUR:CE-FIN05-I-150-A	2005-06-28				28	10
WUR:CE-FIN05-I-150-B	2005-06-28				28	9
WUR:CE-FIN05-I-150-C	2005-06-28				27	13
WUR:CE-FIN05-I-151-A	2005-06-28				25	11
WUR:CE-FIN05-I-151-B	2005-06-28				29	7
WUR:CE-FIN05-I-151-C	2005-06-28				28	6
WUR:CE-FIN05-I-152-A	2005-06-28				29	9
WUR:CE-FIN05-I-152-B	2005-06-28				28	8
WUR:CE-FIN05-I-152-C	2005-06-28				27	9
WUR:CE-FIN05-I-153-A	2005-06-28				24	10
WUR:CE-FIN05-I-153-B	2005-06-28				26	12
WUR:CE-FIN05-I-153-C	2005-06-28				29	9
WUR:CE-FIN05-I-154-A	2005-06-28				31	7
WUR:CE-FIN05-I-154-B	2005-06-28				38	2
WUR:CE-FIN05-I-154-C	2005-06-28				35	4
WUR:CE-FIN05-I-155-A	2005-06-28				29	3
WUR:CE-FIN05-I-155-B	2005-06-28				31	3
WUR:CE-FIN05-I-155-C	2005-06-28				27	5
WUR:CE-FIN05-I-156-A	2005-06-28				24	9
WUR:CE-FIN05-I-156-B	2005-06-28				26	11
WUR:CE-FIN05-I-156-C	2005-06-28				26	9
WUR:CE-FIN05-I-157-A	2005-06-28				32	6
WUR:CE-FIN05-I-157-B	2005-06-28				33	4
WUR:CE-FIN05-I-157-C	2005-06-28				26	10
WUR:CE-FIN05-I-158-A	2005-06-28				29	7
WUR:CE-FIN05-I-158-B	2005-06-28				33	4
WUR:CE-FIN05-I-158-C	2005-06-28				28	5
WUR:CE-FIN05-I-159-A	2005-06-28					
WUR:CE-FIN05-I-159-B	2005-06-28				23	11
WUR:CE-FIN05-I-159-C	2005-06-28				28	6
WUR:CE-FIN05-I-160-A	2005-06-28				26	9
WUR:CE-FIN05-I-160-B	2005-06-28				26	8
WUR:CE-FIN05-I-160-C	2005-06-28				26	7
WUR:CE-FIN05-I-161-A	2005-06-28				28	7
